"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jun 17 01:57:45 CST 2020","Wed Jun 17 01:57:53 CST 2020","8154","scripts","test_search","TestSearch","","","test_search[alibaba]",""
"failed","Wed Jun 17 01:57:57 CST 2020","Wed Jun 17 01:58:06 CST 2020","8249","scripts","test_search","TestSearch","","","test_search[xiaomi]",""
